Id,SalePrice
1461,150487.075
1462,156369.325
1463,197184.42
1464,208519.975
1465,193448.31
1466,187700.645
1467,173722.705
1468,199840.49
1469,177554.415
1470,147530.705
1471,179929.375
1472,148037.165
1473,149456.415
1474,171051.16
1475,153208.325
1476,251133.13
1477,238306.955
1478,247845.665
1479,249069.27
1480,276925.735
1481,245340.28
1482,225264.99
1483,198759.09
1484,201990.595
1485,207064.705
1486,212640.335
1487,234421.855
1488,215107.17
1489,217563.605
1490,207505.225
1491,216866.075
1492,134907.81
1493,159764.08
1494,229718.315
1495,223758.1
1496,206093.955
1497,200053.585
1498,195352.495
1499,187595.455
1500,203997.445
1501,205493.31
1502,198907.27
1503,229711.915
1504,219952.48
1505,208096.02
1506,169365.785
1507,203759.205
1508,181540.0
1509,167103.705
1510,164075.51
1511,156466.55
1512,165005.04
1513,156365.75
1514,153531.44
1515,158620.865
1516,153384.83
1517,160588.9
1518,150303.635
1519,202755.81
1520,150215.83
1521,149121.99
1522,162230.825
1523,139670.615
1524,137966.365
1525,141885.705
1526,145319.615
1527,139247.365
1528,139129.455
1529,151111.115
1530,160989.1
1531,144966.415
1532,126876.51
1533,136252.725
1534,138441.01
1535,156272.825
1536,131670.455
1537,128513.565
1538,150977.895
1539,161817.935
1540,129390.12
1541,147775.415
1542,139277.83
1543,155686.2
1544,125644.66
1545,133726.955
1546,138888.705
1547,135961.08
1548,137843.58
1549,149779.575
1550,135641.14
1551,133091.58
1552,137130.725
1553,154552.49
1554,146052.76
1555,164134.35
1556,135885.91
1557,128819.095
1558,147191.49
1559,137961.35
1560,135487.545
1561,147927.83
1562,149395.105
1563,143923.455
1564,155930.85
1565,158102.69
1566,176665.635
1567,130487.455
1568,221125.48
1569,148783.2
1570,156718.99
1571,139780.99
1572,153137.7
1573,217090.125
1574,149378.995
1575,186041.9
1576,224117.455
1577,202933.375
1578,154620.7
1579,173559.47
1580,205847.24
1581,171880.825
1582,154717.99
1583,233234.22
1584,215916.63
1585,194167.975
1586,134191.825
1587,144721.695
1588,153487.94
1589,139747.28
1590,151675.325
1591,136880.675
1592,144490.49
1593,140523.24
1594,154343.82
1595,155332.76
1596,179580.16
1597,189479.785
1598,204196.27
1599,175537.035
1600,181716.21
1601,129447.765
1602,135272.415
1603,130743.6
1604,235210.995
1605,212370.875
1606,161498.41
1607,168414.34
1608,214938.01
1609,213155.985
1610,201546.815
1611,148903.135
1612,195093.845
1613,191444.685
1614,159797.445
1615,145903.165
1616,145525.165
1617,153047.665
1618,157241.16
1619,162816.005
1620,191526.09
1621,166034.35
1622,160370.615
1623,208290.74
1624,211836.73
1625,144938.365
1626,167440.035
1627,201933.925
1628,229179.755
1629,192432.845
1630,232533.62
1631,206247.985
1632,213642.625
1633,199061.74
1634,204324.12
1635,190631.765
1636,181274.235
1637,192589.81
1638,191809.06
1639,187841.83
1640,204349.765
1641,178453.745
1642,223063.75
1643,215445.15
1644,214825.205
1645,172548.18
1646,165268.225
1647,159394.95
1648,150854.2
1649,160371.825
1650,154530.74
1651,156100.26
1652,148454.415
1653,148026.915
1654,167377.2
1655,156545.325
1656,169681.735
1657,166921.9
1658,174434.545
1659,152725.325
1660,169673.535
1661,268309.67
1662,245739.675
1663,260891.395
1664,269953.26
1665,250395.06
1666,255581.195
1667,255004.395
1668,260488.945
1669,241922.965
1670,249016.5
1671,244980.245
1672,260564.5
